2020-11-26 11:00:57,776 [Worker-252] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:00:57,809 [Worker-252] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-26 11:00:57,812 [Worker-252] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:00:57,833 [Worker-252] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-26 11:01:48,211 [Worker-255] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:01:48,713 [Worker-255] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-26 11:01:48,715 [Worker-255] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:01:48,740 [Worker-255] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-26 11:04:12,683 [Worker-260] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:04:12,711 [Worker-260] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-26 11:04:12,714 [Worker-260] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:04:12,738 [Worker-260] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-26 11:07:48,758 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:07:48,795 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-26 11:07:48,798 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:07:48,830 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-26 11:08:36,759 [Worker-267] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
